КПП	ОКАТО	Регион	Короткое Имя
01	79	Республика Адыгея	Адыгея
02	80	Республика Башкортостан	Башкортостан
03	81	Республика Бурятия	Бурятия
04	84	Республика Алтай	Алтай
05	82	Республика Дагестан	Дагестан
06	26	Республика Ингушетия	Ингушетия
07	83	Республика Кабардино-Балкария	Кабардино-Балкар
08	85	Республика Калмыкия	Калмыкия
09	91	Карачаево-Черкесская Республика	Карачаево-Черкесская
10	86	Республика Карелия	Карелия
11	87	Республика Коми	Коми
12	88	Республика Марий Эл	Марий
13	89	Республика Мордовия	Мордовия
14	98	Республика Саха (Якутия)	Саха
15	90	Республика Северная Осетия-Алания	Осетия-Алания
16	92	Республика Татарстан	Татарстан
17	93	Республика Тыва	Тыва
18	94	Удмуртская Республика	Удмуртская
19	95	Республика Хакасия	Хакасия
20	96	Чеченская Республика	Чеченская
21	97	Чувашская Республика	Чувашская
22	01	Алтайский край	Алтайский
23	03	Краснодарский край	Краснодарский
24	04	Красноярский край	Красноярский
25	05	Приморский край	Приморский
26	07	Ставропольский край	Ставропольский
27	08	Хабаровский край	Хабаровский
28	10	Амурская Область	Амурская
29	11	Архангельская Область и Ненецкий автономный округ	Архангельская
30	12	Астраханская Область	Астраханская
31	14	Белгородская Область	Белгородская
32	15	Брянская Область	Брянская
33	17	Владимирская Область	Владимирская
34	18	Волгоградская Область	Волгоградская
35	19	Вологодская Область	Вологодская
36	20	Воронежская Область	Воронежская
37	24	Ивановская Область	Ивановская
38	25	Иркутская Область	Иркутская
39	27	Калининградская Область	Калиниградская
40	29	Калужская Область	Калужская
41	30	Камчатский край	Камчатский
42	32	Кемеровская Область	Кемеровская
43	33	Кировская Область	Кировская
44	34	Костромская Область	Костромская
45	37	Курганская Область	Курганская
46	38	Курская Область	Курская
47	41	Ленинградская Область	Ленинградская
48	42	Липецкая Область	Липецкая
49	44	Магаданская Область	Магаднская
50	46	Московская Область	Московская
51	47	Мурманская Область 	Мурманская
52	22	Нижегородская Область	Нижегородская
53	49	Новгородская Область	Новгородская
54	50	Новосибирская Область	Новосибирская
55	52	Омская Область	Омская
56	53	Оренбургская Область	Оренбургская
57	54	Орловская Область	Орловская
58	56	Пензенская Область	Пензенская
59	57	Пермский край	Пермский
60	58	Псковская Область	Псковская
61	60	Ростовская Область	Ростовская
62	61	Рязанская Область	Рязанская
63	36	Самарская Область	Самарская
64	63	Саратовская Область	Саратовская
65	64	Сахалинская Область	Сахалинская
66	65	Свердловская Область	Свердловская
67	66	Смоленская Область	Смоленская
68	68	Тамбовская Область	Тамбовская
69	28	Тверская Область	Тверская
70	69	Томская Область	Томская
71	70	Тульская Область	Тульская
72	71	Тюменская Область	Тюменская	
73	73	Ульяновская Область	Ульяновская
74	75	Челябинская Область	Челябинская
75	76	Забайкальский край	Забайкальский
76	78	Ярославская Область	Ярославская
77	45	г. Москва	Москва
78	40	г. Санкт-Петербург	Санкт-Петербург
79	99	Еврейская автономная Область	Еврейская
87	77	Чукотский автономный округ	Чукотский
91	35	Республика Крым	Крым
92	67	г.Севастополь	Севастополь